title,company,location,link,description,skills,details
DÉVELOPPEUR.EUSE WEB,Akademija Oxford,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-euse-web-at-akademija-oxford-3917871108?position=2&pageNum=0&refId=XXA5uDKusAxR10ZoFigGQQ%3D%3D&trackingId=5XmtsJwJcMe4syTQNFDnDQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Envie de vivre l’aventure start-up et de prendre part à un projet innovant ? Participez au développement d’une application web et d’une future application mobile. L’entreprise, basée à Paris, vous propose de monter en compétences sur le stack, le frontend et le backend dans le cadre d’un contrat en alternance débutant en Septembre 2021.
Show more
Show less","{'ProgLanguage': ['R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': [], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': [], 'FrSoftSkills': [], 'EnSoftSkils': []}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's']}"
DÉVELOPPEUR JAVA,Akademija Oxford,"Ille-et-Vilaine, Brittany, France",https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-java-at-akademija-oxford-3917871117?position=3&pageNum=0&refId=XXA5uDKusAxR10ZoFigGQQ%3D%3D&trackingId=cmD9goylk%2BdV31UP4s12rw%3D%3D&trk=public_jobs_jserp-result_search-card,"L’école Sup de Vinci, Rennes, accompagne l’une de ses entreprises partenaires dans son projet de recrutement d’un profil développeur.se java en alternance pour la rentrée de Septembre 2021.
Durée du contrat : 24 mois
A noter : Sup de Vinci présentera à cette entreprise partenaire uniquement des candidats ayant passé les tests d’admission et qui seront admissibles dans son établissement.
Show more
Show less","{'ProgLanguage': ['Java', 'R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': [], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': [], 'FrSoftSkills': [], 'EnSoftSkils': []}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's']}"
Junior Software Engineer,Equativ,"Nantes, Pays de la Loire, France",https://fr.linkedin.com/jobs/view/junior-software-engineer-at-equativ-3909983597?position=4&pageNum=0&refId=XXA5uDKusAxR10ZoFigGQQ%3D%3D&trackingId=EHSf%2BrdYrlPO%2FzRRLZmGLg%3D%3D&trk=public_jobs_jserp-result_search-card,"👫 About the team
At Equativ, we’re on a mission to develop advertising technologies that empower our customers to reach their digital business goals. This means that we rely on massively scalable, widely distributed, highly available, and efficient software systems; the platform deals with over 3 millions requests per second managed by 3,000 servers.
Our innovation team based in Paris, Nantes, Limoges, Krakow and Berlin is composed of 100+ straightforward and energetic engineers working in an Agile environment and ready to tackle the most complex technical challenges.
Your mission 👇
Inside a team of 4, you will work closely with all R&D teams (and even with other divisions!) to improve each step of the development cycle amongst Equativ. You will develop tools and implement automation to accelerate development, improve build reliability & stability and improve the overall productivity of each Equativ employee. You will challenge existing processes to reinforce the quality of our products.
What you'll do ✏️
Engineering internal systems and tools to support both build and verification of our products, as well as automate work process
Enforce software development best practices
Identify, collaborate and implement process improvement opportunities
Detect impediments and advocate for their resolution
Show our technical skills outside Equativ by going open source on key projects
Some examples of the projects we are working on :
Onboarding/Offboarding automation (account creation for newcomers or deactivation when someone leave) through APIs
The Timeline, an internal tool developed from scratch showing a state of the art of our product deployments, customer activations, infra interventions
Deployment of test environments on-the-fly, just by moving a Jira
About You 💪
You have a master’s degree in Computer Science or a similar technical field of study
You have 1+ years experience (apprenticeship accepted) in software development
You have a programming experience in C# or JavaScript/Typescript (Angular) and SQL
You are also interested in agile development methodologies, in continuous integration and its tools like GitLab, Sonarcloud, Jira…
You are self-driven and a team player with a solid work ethic
You are a hands-on problem-solver
Fluent English is required
👋 About us
Equativ is the new single name for Smart Adserver, DynAdmic, LiquidM and Nowtilus — four proven innovators in advertising technology. The vertically integrated company provides brand and privacy-safe solutions that empower its clients to achieve maximum impact while respecting the rights of consumers. The union combines client expertise and engineering excellence to serve the interests of both the supply- side and demand-side with equal professionalism and technical sophistication.
Headquartered in Paris and New York, Equativ operates globally with a team of more than 550 people in 20 offices. Equativ offers the market its own independent ad server, SSP, buyer tools, and media services to fulfill the promise of advertising technology. Learn more at Equativ.com.
The company is ranked on the Deloitte Technology Fast 500 EMEA and in the Financial Times’ FT 1000: Europe’s Fastest-Growing Companies.
Equativ (formerly Smart AdServer) has been awarded the HappyIndex@Work label and is proud to be among the best companies in the ChooseMyCompany ranking, recognized for its flexible working environment.
Come and lead the charge with us in building a transparent ecosystem based on quality!
Equativ is an equal opportunity employer. Equal access to employment, services, and programs are available to everyone, regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, or Veteran status. If you require reasonable accommodation throughout the application and/or interview process, please contact the recruitment team at ta-team@equativ.com
Show more
Show less","{'ProgLanguage': ['Java', 'C#', 'Scala', 'R', 'Go', 'JavaScript'], 'DataBase': ['SQL'], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': ['Git'], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': ['JIRA', 'Teams'], 'Other': ['Cloud'], 'FrSoftSkills': [], 'EnSoftSkils': []}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's']}"
Full-Stack Web Developer - H/F,Groupe Santiane,"Nice, Provence-Alpes-Côte d'Azur, France",https://fr.linkedin.com/jobs/view/full-stack-web-developer-h-f-at-groupe-santiane-3910607370?position=5&pageNum=0&refId=XXA5uDKusAxR10ZoFigGQQ%3D%3D&trackingId=YetivaooOWB93iLHIJer3Q%3D%3D&trk=public_jobs_jserp-result_search-card,"Qui Sommes – Nous ? Nous Sommes Courtier Gestionnaire En Assurance Multi-canal (B2C / B2B) Et Multi-spécialiste, Leader De L’assurance Santé Sur Le Marché Français. Depuis 2006, Nous Sommes Spécialisés Dans La Conception De Produits D’assurance Santé, Prévoyance Et Obsèques. En 2023, Nous Intégrons De Nouvelles Lignes Complémentaires Avec L’assurance De Biens (IARD) Et De Personnes (l’assurance De Prêt). Nous Comptons Aujourd’hui 280 Collaborateurs Dans Nos Établissements De Paris, Nice, Lyon Et Reims Auxquels S’ajoutent Un Peu Plus De 250 Collaborateurs Employés Par Des Sous-traitants Aujourd’hui Nous Recherchons Des Talents Avec Qui Atteindre Et Partager Nos Objectifs. Vos Missions Seront Les Suivantes
Participer à la conception et à l'estimation en charge de travail des fonctionnalités
Développer les nouvelles fonctionnalités en conformité avec les normes établies
Livrer les fonctionnalités et s'assurer qu'elles correspondent bien aux attentes
Superviser et maintenir les produits en charge de l'équipe
Participer à la vie de l'équipe Agile et de l'entreprise Cette liste est non exhaustive Vous portez un intérêt personnel à la culture web et aux technologies de l’information et de la communication. Vous avez un niveau avancé en backend PHP/SQL, maitrisez le frontend HTML/CSS/JS et pouvez travailler à terme sur des technologies comme ReactJS/Native. Vous êtes également familier des services d’exploitation (Apache, PHPfpm, MySQL) et vous voulez vous développer sur des technologies Devops (Grafana, Docker). Vous avez les réflexes et les notions utiles pour garantir la sécurité de vos développements. Vous avez l’esprit d’équipe. Vous pouvez travailler autour de méthodologies agiles et aimez gagner en autonomie, prise d’initiative. Rémunération :
Fourchette de rémunération : Entre 35 000 € et 45 000 € brut par an.
Prime de participation
Prime d'ancienneté Avantages :
Possibilité de faire du télétravail
Tickets restaurant pris en charge à 59% par l’employeur (valeur : 11 euros)
Mutuelle de groupe (formule de base offerte pour le collaborateur)
Prise en charge à 100% des frais de transport en commun
Show more
Show less","{'ProgLanguage': ['R', 'HTML'], 'DataBase': ['SQL'], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': ['Docker'], 'Os': [], 'DBMS': ['MySQL'], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': ['Docker'], 'Collaboration': [], 'Other': ['DevOps', 'ML'], 'FrSoftSkills': ['Communication'], 'EnSoftSkils': ['Communication', 'Initiative']}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's']}"
FULL STACK DEVELOPER,Vistingo,Saint Pierre and Miquelon,https://pm.linkedin.com/jobs/view/full-stack-developer-at-vistingo-3899623507?position=6&pageNum=0&refId=XXA5uDKusAxR10ZoFigGQQ%3D%3D&trackingId=o3eTFA3ljgmoYSkqE5rbMg%3D%3D&trk=public_jobs_jserp-result_search-card,"Do you know the perfect equation to support, motivate and obtain the maximum potential of your employees in an organized and entertaining way? Vistingo is a digital, interactive platform based in Positive Psychology, targeting employees’ emotional wellbeing and their enjoyment in the workplace; developing social corporate responsibility that results in a higher productivity. Organizational development benefits are countless: personal development, interpersonal competence, participation, commitment, work satisfaction and work democracy feelings amongst employees. It is about contributing to make talent bloom in every worker that connects the business chain. Vistingo´s innovative platform offers a huge range of features that contribute to the emotional salary and social benefits, i.e.: events, clubs, discounts, participative ranking of employees and agenda of contents such as cultural plans, healthy lifestyle and family life. Also, during crisis periods, it offers a fantastic support, being possible to digitally interact with each employee to obtain a clear idea of their needs and worries. With this feedback, you can facilitate them with the necessary to keep performing at the required level. Vistingo helps you look after you employees first, so the rest comes by.
The Role
Responsibilities
Produce well designed efficient code in a timely manner to meet delivery timescales/milestones.
Should demonstrate the ability to handle multiple projects simultaneously, manage priorities and communicate progress effectively.
Produce significant, reusable, scalable code that adheres to industry standards and best practices.
Keep up with the latest web development methods and technologies, and apply them to the project.
Ideal Profile
Requirements
A Filipino Citizen.
Angular is the programmer language.
Must have 2+ years of experience in the same capacity.
Experience with JavaScript, Node.js, Express.js, and Angular, and database technology such as MySQL is required.
Experience with Github and advanced Github features.
Experience in responsive design, cross-browser compatibility, and website performance.
Excellent verbal communication skills. Strong team player and communicator. Good problem-solving skills.
Strong organizational skills and attention to detail.
What's on Offer?
Great work environment
Opportunity to make a positive impact
Work within a company with a solid track record of success
Show more
Show less","{'ProgLanguage': ['Java', 'Scala', 'R', 'Go', 'JavaScript'], 'DataBase': ['SQL'], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': ['Git'], 'Os': [], 'DBMS': ['MySQL'], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': [], 'FrSoftSkills': ['Communication'], 'EnSoftSkils': ['Communication', 'Organization']}","{'JobDetail': [], 'TypeContract': [], 'Salary': ['2'], 'Level': [], 'Experience': ['a', 'n', 's']}"
Software Engineer - Early Career,Datadog,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/software-engineer-early-career-at-datadog-3887658751?position=7&pageNum=0&refId=XXA5uDKusAxR10ZoFigGQQ%3D%3D&trackingId=OReLesTkEK6Gi0CGz%2F%2F7SA%3D%3D&trk=public_jobs_jserp-result_search-card,"We’re looking for early-career candidates to join us to help collect, aggregate, visualize, and analyze extremely high-scale metrics, logs, and application data. You'll join one of Datadog's software teams and work alongside other engineers to help solve complex problems. Whether you are writing a new integration, building data pipelines, or working with the open source community, our recent graduates are key contributors to our product. Students can sign up anytime for a free Datadog Pro account!
At Datadog, we place value in our office culture - the relationships that it builds, the creativity it brings to the table, and the collaboration of being together. We operate as a hybrid workplace to ensure our employees can create a work-life harmony that best fits them.
What You’ll Do:
Solve a scaling bottleneck in a critical service
Deploy a new feature to production and progressively roll it out with feature flags
Investigate and fix a production issue from a service your team owns
Create a way to optimize a service to handle more traffic at scale
In partnership with your team, plan the most important projects to work on next
Who You Are:
You are in the process of receiving/have a degree in Computer Science, Software Engineering or related scientific field, or equivalent experience
You are targeting a 2024 full-time start date
You are comfortable coding in one or more languages
You value code simplicity and performance
You have worked as a software engineering intern or have related experience
You want to work in a fast-paced environment that values its employees and customers
You are a self-starter who enjoys partnering with other engineers and solving difficult problems
Datadog values people from all walks of life. We understand not everyone will meet all the above qualifications on day one. That's okay. If you’re passionate about technology and want to grow your skills, we encourage you to apply.
Benefits and Growth:
New hire stock equity (RSUs) and employee stock purchase plan (ESPP)
Continuous professional development, product training, and career pathing
Intradepartmental mentor and buddy program for in-house networking
An inclusive company culture, ability to join our Community Guilds (Datadog employee resource groups) and monthly company social events
Relocation support and travel benefits
Unlimited snacks and drinks in our office; catered lunches on Monday, Wednesday, and Friday
Beautiful offices in convenient locations with amazing views
Free, global mental health benefits for employees and dependents age 6+
Benefits and Growth listed above may vary based on the country of your employment and the nature of your employment with Datadog.
Please ensure that you submit your CV/resume in English.
This role is located in our Paris office. Please submit one application for your top location preference (Paris, Lisbon, or Madrid) only. Please note that current authorization to work in France will be needed to complete the process for this role. However, international candidates currently studying in France are eligible for sponsorship.
About Datadog:
Datadog (NASDAQ: DDOG) is a global SaaS business, delivering a rare combination of growth and profitability. We are on a mission to break down silos and solve complexity in the cloud age by enabling digital transformation, cloud migration, and infrastructure monitoring of our customers’ entire technology stacks. Built by engineers, for engineers, Datadog is used by organizations of all sizes across a wide range of industries. Together, we champion professional development, diversity of thought, innovation, and work excellence to empower continuous growth. Join the pack and become part of a collaborative, pragmatic, and thoughtful people-first community where we solve tough problems, take smart risks, and celebrate one another. Learn more about #DatadogLife on Instagram, LinkedIn, and Datadog Learning Center.
Equal Opportunity at Datadog:
Datadog is an Affirmative Action and Equal Opportunity Employer and is proud to offer equal employment opportunity to everyone regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, veteran status, and more. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. Here are our Candidate Legal Notices for your reference.
Your Privacy:
Any information you submit to Datadog as part of your application will be processed in accordance with Datadog’s Applicant and Candidate Privacy Notice.
Show more
Show less","{'ProgLanguage': ['R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': ['Git'], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': ['Teams'], 'Other': ['Cloud'], 'FrSoftSkills': ['Collaboration'], 'EnSoftSkils': ['Creativity', 'Collaboration', 'Organization']}","{'JobDetail': ['Full'], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's']}"
APPRENTI.E DATA SCIENTIST,Akademija Oxford,"Val-De-Marne, Île-de-France, France",https://fr.linkedin.com/jobs/view/apprenti-e-data-scientist-at-akademija-oxford-3917870308?position=8&pageNum=0&refId=XXA5uDKusAxR10ZoFigGQQ%3D%3D&trackingId=3R03BLcYbaUHc%2BOzIQ8HNg%3D%3D&trk=public_jobs_jserp-result_search-card,"Une des entreprises leader sur le marché de la santé, située dans le Val-De-Marne, recherche un.e Apprenti.e Data Scientist dans le cadre d’un contrat d’apprentissage et pour un démarrage en Octobre 2021.
Show more
Show less","{'ProgLanguage': ['R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': [], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': [], 'FrSoftSkills': [], 'EnSoftSkils': []}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's']}"
FULL STACK DEVELOPER,Vistingo,French Polynesia,https://pf.linkedin.com/jobs/view/full-stack-developer-at-vistingo-3899625198?position=9&pageNum=0&refId=XXA5uDKusAxR10ZoFigGQQ%3D%3D&trackingId=WnHMm35e%2Bx7yy1iPoXv8wg%3D%3D&trk=public_jobs_jserp-result_search-card,"Do you know the perfect equation to support, motivate and obtain the maximum potential of your employees in an organized and entertaining way? Vistingo is a digital, interactive platform based in Positive Psychology, targeting employees’ emotional wellbeing and their enjoyment in the workplace; developing social corporate responsibility that results in a higher productivity. Organizational development benefits are countless: personal development, interpersonal competence, participation, commitment, work satisfaction and work democracy feelings amongst employees. It is about contributing to make talent bloom in every worker that connects the business chain. Vistingo´s innovative platform offers a huge range of features that contribute to the emotional salary and social benefits, i.e.: events, clubs, discounts, participative ranking of employees and agenda of contents such as cultural plans, healthy lifestyle and family life. Also, during crisis periods, it offers a fantastic support, being possible to digitally interact with each employee to obtain a clear idea of their needs and worries. With this feedback, you can facilitate them with the necessary to keep performing at the required level. Vistingo helps you look after you employees first, so the rest comes by.
The Role
Responsibilities
Produce well designed efficient code in a timely manner to meet delivery timescales/milestones.
Should demonstrate the ability to handle multiple projects simultaneously, manage priorities and communicate progress effectively.
Produce significant, reusable, scalable code that adheres to industry standards and best practices.
Keep up with the latest web development methods and technologies, and apply them to the project.
Ideal Profile
Requirements
A Filipino Citizen.
Angular is the programmer language.
Must have 2+ years of experience in the same capacity.
Experience with JavaScript, Node.js, Express.js, and Angular, and database technology such as MySQL is required.
Experience with Github and advanced Github features.
Experience in responsive design, cross-browser compatibility, and website performance.
Excellent verbal communication skills. Strong team player and communicator. Good problem-solving skills.
Strong organizational skills and attention to detail.
What's on Offer?
Great work environment
Opportunity to make a positive impact
Work within a company with a solid track record of success
Show more
Show less","{'ProgLanguage': ['Java', 'Scala', 'R', 'Go', 'JavaScript'], 'DataBase': ['SQL'], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': ['Git'], 'Os': [], 'DBMS': ['MySQL'], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': [], 'FrSoftSkills': ['Communication'], 'EnSoftSkils': ['Communication', 'Organization']}","{'JobDetail': [], 'TypeContract': [], 'Salary': ['2'], 'Level': [], 'Experience': ['a', 'n', 's']}"
FULL STACK DEVELOPER,Vistingo,French Guiana,https://gf.linkedin.com/jobs/view/full-stack-developer-at-vistingo-3899619908?position=10&pageNum=0&refId=XXA5uDKusAxR10ZoFigGQQ%3D%3D&trackingId=HNpLLPv8uPiglgtCdAmzPg%3D%3D&trk=public_jobs_jserp-result_search-card,"Do you know the perfect equation to support, motivate and obtain the maximum potential of your employees in an organized and entertaining way? Vistingo is a digital, interactive platform based in Positive Psychology, targeting employees’ emotional wellbeing and their enjoyment in the workplace; developing social corporate responsibility that results in a higher productivity. Organizational development benefits are countless: personal development, interpersonal competence, participation, commitment, work satisfaction and work democracy feelings amongst employees. It is about contributing to make talent bloom in every worker that connects the business chain. Vistingo´s innovative platform offers a huge range of features that contribute to the emotional salary and social benefits, i.e.: events, clubs, discounts, participative ranking of employees and agenda of contents such as cultural plans, healthy lifestyle and family life. Also, during crisis periods, it offers a fantastic support, being possible to digitally interact with each employee to obtain a clear idea of their needs and worries. With this feedback, you can facilitate them with the necessary to keep performing at the required level. Vistingo helps you look after you employees first, so the rest comes by.
The Role
Responsibilities
Produce well designed efficient code in a timely manner to meet delivery timescales/milestones.
Should demonstrate the ability to handle multiple projects simultaneously, manage priorities and communicate progress effectively.
Produce significant, reusable, scalable code that adheres to industry standards and best practices.
Keep up with the latest web development methods and technologies, and apply them to the project.
Ideal Profile
Requirements
A Filipino Citizen.
Angular is the programmer language.
Must have 2+ years of experience in the same capacity.
Experience with JavaScript, Node.js, Express.js, and Angular, and database technology such as MySQL is required.
Experience with Github and advanced Github features.
Experience in responsive design, cross-browser compatibility, and website performance.
Excellent verbal communication skills. Strong team player and communicator. Good problem-solving skills.
Strong organizational skills and attention to detail.
What's on Offer?
Great work environment
Opportunity to make a positive impact
Work within a company with a solid track record of success
Show more
Show less","{'ProgLanguage': ['Java', 'Scala', 'R', 'Go', 'JavaScript'], 'DataBase': ['SQL'], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': ['Git'], 'Os': [], 'DBMS': ['MySQL'], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': [], 'FrSoftSkills': ['Communication'], 'EnSoftSkils': ['Communication', 'Organization']}","{'JobDetail': [], 'TypeContract': [], 'Salary': ['2'], 'Level': [], 'Experience': ['a', 'n', 's']}"
FULL STACK DEVELOPER,Vistingo,Martinique,https://mq.linkedin.com/jobs/view/full-stack-developer-at-vistingo-3899625197?position=11&pageNum=0&refId=XXA5uDKusAxR10ZoFigGQQ%3D%3D&trackingId=wQ2fWv%2BcWzQL2ZwL2twyGQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Do you know the perfect equation to support, motivate and obtain the maximum potential of your employees in an organized and entertaining way? Vistingo is a digital, interactive platform based in Positive Psychology, targeting employees’ emotional wellbeing and their enjoyment in the workplace; developing social corporate responsibility that results in a higher productivity. Organizational development benefits are countless: personal development, interpersonal competence, participation, commitment, work satisfaction and work democracy feelings amongst employees. It is about contributing to make talent bloom in every worker that connects the business chain. Vistingo´s innovative platform offers a huge range of features that contribute to the emotional salary and social benefits, i.e.: events, clubs, discounts, participative ranking of employees and agenda of contents such as cultural plans, healthy lifestyle and family life. Also, during crisis periods, it offers a fantastic support, being possible to digitally interact with each employee to obtain a clear idea of their needs and worries. With this feedback, you can facilitate them with the necessary to keep performing at the required level. Vistingo helps you look after you employees first, so the rest comes by.
The Role
Responsibilities
Produce well designed efficient code in a timely manner to meet delivery timescales/milestones.
Should demonstrate the ability to handle multiple projects simultaneously, manage priorities and communicate progress effectively.
Produce significant, reusable, scalable code that adheres to industry standards and best practices.
Keep up with the latest web development methods and technologies, and apply them to the project.
Ideal Profile
Requirements
A Filipino Citizen.
Angular is the programmer language.
Must have 2+ years of experience in the same capacity.
Experience with JavaScript, Node.js, Express.js, and Angular, and database technology such as MySQL is required.
Experience with Github and advanced Github features.
Experience in responsive design, cross-browser compatibility, and website performance.
Excellent verbal communication skills. Strong team player and communicator. Good problem-solving skills.
Strong organizational skills and attention to detail.
What's on Offer?
Great work environment
Opportunity to make a positive impact
Work within a company with a solid track record of success
Show more
Show less","{'ProgLanguage': ['Java', 'Scala', 'R', 'Go', 'JavaScript'], 'DataBase': ['SQL'], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': ['Git'], 'Os': [], 'DBMS': ['MySQL'], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': [], 'FrSoftSkills': ['Communication'], 'EnSoftSkils': ['Communication', 'Organization']}","{'JobDetail': [], 'TypeContract': [], 'Salary': ['2'], 'Level': [], 'Experience': ['a', 'n', 's']}"
