srouce,title,company,location,link,description,skills,details
LinkedIn,DATA ANALYST JUNIOR (H/F),Akademija Oxford,"Boulogne-Billancourt, Île-de-France, France",https://fr.linkedin.com/jobs/view/data-analyst-junior-h-f-at-akademija-oxford-3917871112?position=2&pageNum=0&refId=3%2BsKCnzKBomYeuJjjsOexw%3D%3D&trackingId=4%2Fa7pNvAsIgWJtMpHVaPXA%3D%3D&trk=public_jobs_jserp-result_search-card,"Notre entreprise partenaire, spécialiste de la vente de médicaments et produits de santé, recherche un apprenti Data Analyst (H/F) préparant un bac +4/+5 en filière Big Data pour la rentrée de Septembre 2021.
Show more
Show less","{'ProgLanguage': ['R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': [], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': ['Big Data'], 'FrSoftSkills': [], 'EnSoftSkils': []}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's']}"
LinkedIn,INGÉNIEUR DATA,Akademija Oxford,"Ille-et-Vilaine, Brittany, France",https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-data-at-akademija-oxford-3912800588?position=3&pageNum=0&refId=3%2BsKCnzKBomYeuJjjsOexw%3D%3D&trackingId=oQd1rnnUf9GBIkM2KvjqXw%3D%3D&trk=public_jobs_jserp-result_search-card,"Vous souhaitez intégrer une école à taille humaine ? Vous êtes intéressé.es par la donnée ? Sup de Vinci propose une formation complète, en Mastère Big Data & Intelligence Artificielle (2 années en alternance).
L’école Sup de Vinci, Rennes, accompagne l’une de ses entreprises partenaires dans son projet de recrutement d’un profil ingénieur data, en alternance pour la rentrée 2022.
Show more
Show less","{'ProgLanguage': ['R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': [], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': ['Big Data'], 'FrSoftSkills': [], 'EnSoftSkils': []}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's']}"
LinkedIn,DATA ENGINEER SÉCURITÉ H/F,Akademija Oxford,"Boulogne-Billancourt, Île-de-France, France",https://fr.linkedin.com/jobs/view/data-engineer-s%C3%A9curit%C3%A9-h-f-at-akademija-oxford-3917866657?position=4&pageNum=0&refId=3%2BsKCnzKBomYeuJjjsOexw%3D%3D&trackingId=LZWNDjODSr2WKASECOYsmw%3D%3D&trk=public_jobs_jserp-result_search-card,"Une entreprise du secteur de la protection de l’environnement et basée dans les Hauts-De-Seine recherche un.e Data Engineer Sécurité dans le cadre d’un contrat d’apprentissage.
Au sein de son Data Service, votre rôle sera d’établir la stratégie des architectures data sur les aspects sécurité en lien avec la stratégie globale métier et contribuer à la déclinaison des principes du modèle de sécurité globale.
Vous devrez également élaborer des modèles de référence pour les architectures data, mais aussi contribuer à la déclinaison des politiques de sécurité en standards de sécurité opérationnels.
Show more
Show less","{'ProgLanguage': ['R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': [], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': [], 'FrSoftSkills': [], 'EnSoftSkils': []}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's']}"
LinkedIn,DATA ANALYST,Akademija Oxford,"Boulogne-Billancourt, Île-de-France, France",https://fr.linkedin.com/jobs/view/data-analyst-at-akademija-oxford-3917868480?position=5&pageNum=0&refId=3%2BsKCnzKBomYeuJjjsOexw%3D%3D&trackingId=vHT%2FnfuS2czWJA7syxxhGQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Nos collaborateurs travaillent au quotidien avec tous les métiers et avec notre réseau international. Et pour être au top de l’innovation, on a ce qui se fait de mieux en matière d’environnement de travail et d’outils technos : datalab, delta room, intelligence artificielle, machine learning…
Résultats ? Une activité multipliée par 2 en 3 ans (et ce n’est pas fini), une expertise reconnue et une position de leader en France.
Bienvenue au cœur du big bang !
Show more
Show less","{'ProgLanguage': ['R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': [], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': ['Machine Learning'], 'FrSoftSkills': [], 'EnSoftSkils': []}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's', '3', '3', '3']}"
LinkedIn,DATA ANALYST,Akademija Oxford,"Ille-et-Vilaine, Brittany, France",https://fr.linkedin.com/jobs/view/data-analyst-at-akademija-oxford-3917868488?position=6&pageNum=0&refId=3%2BsKCnzKBomYeuJjjsOexw%3D%3D&trackingId=Hn7b1Ugq%2FuoI3OMUVld89Q%3D%3D&trk=public_jobs_jserp-result_search-card,"Diplômé(e) d’un bac+2 dans le secteur informatique et plus précisément dans le domaine du développement.
Dans le cadre d’un contrat d’apprentissage de 12 mois, nous recherchons pour l’un de nos partenaires, un Data Analyst qui souhaite apporter ses compétences techniques tout en faisant preuve d’un excellent savoir-être.
Show more
Show less","{'ProgLanguage': ['R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': [], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': [], 'FrSoftSkills': [], 'EnSoftSkils': []}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's']}"
LinkedIn,DATA ANALYST,Akademija Oxford,"Ille-et-Vilaine, Brittany, France",https://fr.linkedin.com/jobs/view/data-analyst-at-akademija-oxford-3917872056?position=7&pageNum=0&refId=3%2BsKCnzKBomYeuJjjsOexw%3D%3D&trackingId=p0A9v%2BlDKjsXyUwA1W0smA%3D%3D&trk=public_jobs_jserp-result_search-card,"L’école Sup de Vinci, Rennes, accompagne l’une de ses entreprises partenaires dans son projet de recrutement d’un profil Big Data en alternance pour la rentrée de Septembre 2021.
A noter : Sup de Vinci présentera à cette entreprise partenaire uniquement des candidats ayant passé les tests d’admission et qui seront admissibles dans son établissement.
Show more
Show less","{'ProgLanguage': ['R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': [], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': ['Big Data'], 'FrSoftSkills': [], 'EnSoftSkils': []}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's']}"
LinkedIn,Data Engineer - Bordeaux,Capgemini,"Bordeaux, Nouvelle-Aquitaine, France",https://fr.linkedin.com/jobs/view/data-engineer-bordeaux-at-capgemini-3889788624?position=8&pageNum=0&refId=3%2BsKCnzKBomYeuJjjsOexw%3D%3D&trackingId=4fssEcWN4xK2SLQ4KEHn8w%3D%3D&trk=public_jobs_jserp-result_search-card,"Choisir Capgemini, c'est choisir une entreprise où vous serez en mesure de façonner votre carrière selon vos aspirations. Avec le soutien et l'inspiration d'une
communauté d’experts dans le monde entier, vous pourrez réécrire votre futur. Rejoignez-nous pour redéfinir les limites de ce qui est possible, contribuer à libérer la
valeur de la technologie pour les plus grandes organisations et participer à la construction d’un monde plus durable et inclusif.
Vos missions :
Vous êtes passionné par le domaine de la Data, vous souhaitez prendre part à des projets d'envergure, concevoir des solutions, les implémenter et les faire évoluer?
Alors rejoignez notre équipe Data Engineering Services au sein de Capgemini Cloud Infrastructure Services en tant que Data Engineer.
Vous avez acquis une expérience solide dans le développement, la mise en œuvre et l’optimisation de solutions pour le traitement d'un grand volume de données, vous êtes capable de créer des solutions qui répondent aux besoins métiers et IT, alors rejoignez notre équipe d’experts.
En qualité de Data engineer, vos missions sont les suivantes :
▪ Concevoir et développer des solutions Data/IA.
▪ Accompagner les Métier dans la compréhension et la mise en œuvre de solution orientées données.
▪ Collaborer avec les Dev, les Ops, les experts infrastructures dans la construction de solutions et d’infrastructures axées sur les données.
▪ Gérer un écosystème de partenaires data et assurer un haut niveau d'expertise
▪ Assurer un rôle de veille technologique sur tous les outils autours de la data, de l’IA et de la BI.
Votre profil :
Vous êtes issu d’une formation ingénieur ou équivalent bac+5 informatique spécialisée en DATA et vous justifiez d’une expérience de 3 à 5 ans dans un rôle similaire. Expert dans une technologie de base de données relationnelle (PostgreSQL, Oracle...)
Expert dans une technologie de base NoSQL (MongoDB, Cassandra...)
Vous maitrisez un framework de manipulation de données (Hadoop, Spark, Kafka...)
Vous maitrisez les concepts DevOps et avez de bonnes notions en scripting et développement
Vous avez une expérience des outils BI et de data visualisation (Kibana, PowerBI...)
La maitrise de l'anglais est nécessaire.
3 raisons de nous rejoindre :
Qualité de vie au travail :
accord de télétravail en France et à l’international, accord sur l’égalité professionnelle, la parentalité, l’équilibre des temps et la mobilité durable.
Apprentissage en continu :
certifications et formations en libre accès, accompagnement sur mesure avec votre career manager, parcours d’intégration sur 9 mois.
Avantages groupe & CSE :
plan actionnariat, tarif préférentiels, remboursement partiel vacances, remboursement de votre abonnement sportif ou culture
Nos engagements et priorités :
Le groupe Capgemini encourage une culture inclusive dans un cadre multiculturel et handi-accueillant. En nous rejoignant, vous intégrez un collectif qui valorise la diversité, développe le potentiel de ses talents, s’engage dans des initiatives solidaires avec ses partenaires, et se mobilise pour réduire son impact environnemental sur tous ses sites et auprès de ses clients.
À propos de Capgemini :
Capgemini est un leader mondial, responsable et multiculturel, regroupant près de 350 000 personnes dans plus de 50 pays. Fort de 55 ans d’expérience, nous sommes un partenaire stratégique des entreprises pour la transformation de leurs activités en tirant profit de toute la puissance de la technologie et des innovations dans les domaines en perpétuelle évolution tels que le cloud, la data, l’Intelligence Artificielle, la connectivité, les logiciels, l’ingénierie digitale ou les plateformes.
Get The Future You Want* | www.capgemini.com/fr-fr
*Capgemini, le futur que vous voulez
Show more
Show less","{'ProgLanguage': ['R', 'Go'], 'DataBase': ['SQL', 'NoSQL', 'Cassandra'], 'DataAnalytics': ['R'], 'BigData': ['Hadoop', 'Spark'], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': ['PowerBI'], 'Statistics': [], 'CloudComputing': [], 'DevTools': ['Git'], 'Os': [], 'DBMS': ['PostgreSQL', 'Oracle'], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': ['DevOps', 'Cloud'], 'FrSoftSkills': ['Organisation'], 'EnSoftSkils': ['Initiative']}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': ['Bac+5'], 'Experience': ['a', 'n', 's', '5', '5', '5']}"
LinkedIn,DATA ENGINEER (H/F),SFR,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/data-engineer-h-f-at-sfr-3879318123?position=9&pageNum=0&refId=3%2BsKCnzKBomYeuJjjsOexw%3D%3D&trackingId=9OjeHMY3jduvNS6nVrWxVg%3D%3D&trk=public_jobs_jserp-result_search-card,"En tant que Data Ingénieur expérimenté, vous occuperez un rôle essentiel dans notre équipe Data Science.
Vous serez responsable de la conception, du développement et de la maintenance des pipelines de données ainsi que de l'intégration de sources de données multiples.
Votre expertise sera cruciale pour garantir une gestion efficace des flux de données, ainsi que pour faciliter l'analyse et la visualisation des données en plus du support aux data scientists vos missions seront les suivantes :
Architecture projet des données
: Concevoir et développer des architectures projet de données robustes, évolutives et performantes pour intégrer et gérer de grandes quantités de données provenant de sources multiples. Assurer la fiabilité, l'évolutivité et la sécurité des flux de données entrant d’un projet Data Science.
Intégration des données
: Élaborer des pipelines de données efficaces pour l'extraction, la transformation et le chargement des données (via notre Framework ELT/ETL interne) provenant de différentes sources. Mettre en place des processus d'intégration automatisés et veiller à la qualité des données.
Gestion des bases de données
: Concevoir et optimiser des bases de données pour répondre aux besoins analytiques et de reporting. Assurer la performance, la disponibilité et la sécurité des bases de données, ainsi que la gestion efficace des requêtes.
Collaboration interfonctionnelle
: Support des Data Scientists, vous travaillerez avec les équipes business pour comprendre leurs besoins et fournir des conseils et des recommandations basés sur les données.
Optimisation des performances
: Surveiller et optimiser les performances des pipelines de données, des bases de données et des requêtes. Identifier les goulots d'étranglement et les points d'optimisation, et proposer des améliorations pour garantir des performances optimales.
Sécurité et conformité
: Veiller à ce que les données soient traitées et stockées conformément aux normes de sécurité et de confidentialité. Mettre en place des mécanismes de sécurité pour protéger les données sensibles et garantir la conformité aux réglementations en vigueur.
Votre profil :
Vous avez un
Diplôme universitaire en informatique, en génie logiciel, en science des données ou dans un domaine connexe et vous avez à minima 5 ans d'expérience en tant que Data Ingénieur.
Vous possédez également une solide maîtrise des technologies et des outils suivants :
Hadoop, Spark, SQL, Kafka, GCP BigQuery,
De plus vous avez une bonne compréhension des architectures, des modèles et des concepts de base de donnés avec une expérience avancée dans la mise en œuvre de pipelines ETL et dans la gestion de bases de données.
Vos connaissances en matière de sécurité des données, de conformité aux réglementations ainsi que vos compétences en programmation scripting et en développement logiciel seront un plus.
Vos excellentes compétences en communication seront des qualités appréciées et
un niveau d'anglais (appliquée au domaine technique) est un plus.
Show more
Show less","{'ProgLanguage': ['R', 'Go'], 'DataBase': ['SQL'], 'DataAnalytics': ['R'], 'BigData': ['Hadoop', 'Spark'], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': [], 'Os': [], 'DBMS': ['BigQuery'], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': [], 'FrSoftSkills': ['Communication', 'Collaboration'], 'EnSoftSkils': ['Communication', 'Collaboration']}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's', '5', '5', '5']}"
LinkedIn,Data Engineer - Lille,Capgemini,Greater Lille Metropolitan Area,https://fr.linkedin.com/jobs/view/data-engineer-lille-at-capgemini-3914228495?position=10&pageNum=0&refId=3%2BsKCnzKBomYeuJjjsOexw%3D%3D&trackingId=PkwyrVao7fUjVVda5pf%2BSg%3D%3D&trk=public_jobs_jserp-result_search-card,"Capgemini en quelques mots
Choisir Capgemini, c'est choisir une entreprise où vous serez en mesure de façonner votre carrière selon vos aspirations, où vous serez soutenu et inspiré par une communauté d’experts dans le monde entier, où vous pourrez réécrire votre futur. Rejoignez-nous pour redéfinir les limites de ce qui est possible, contribuer à libérer la valeur de la technologie pour les plus grandes organisations et participez à la construction d’un monde plus durable et inclusif.
Vos missions
Vous maitrisez au minimum un langage de programmation appliqué à l’analyse de données
(Java, Python, Scala et les environnements Spark et / ou Hadoop).
Vous êtes passionné par le Big Data et le Machine Learning et l’analyse de données
Vous concevez et mettez en œuvre des stratégies sécurisées d'acquisition et d'intégration de données
Vous configurez des référentiels de données à la pointe de la technologie dans des environnements distribués
Vous construisez des pipelines de données pour collecter, transformer et traiter des données en collaboration avec des scientifiques de données afin de répondre aux exigences de la modélisation de données d'analyse avancée
Votre profil
Diplômé(e) de Bac+5 en informatique
4 ans d’expérience
(au sein d’une ESN ou chez un intégrateur) en conseil clientèle
Une solide culture technologique
Un bon niveau d’anglais
3 raisons de nous rejoindre
Qualité de vie au travail :
accord de télétravail en France et à l’international, accord sur l’égalité
professionnelle, la parentalité, l’équilibre des temps et la mobilité durable.
Apprentissage en continu :
certifications et formations en libre accès, accompagnement sur mesure avec
votre carreer manager, parcours d’intégration sur 9 mois.
Avantages groupe & CSE :
plan actionnariat, activités à tarifs préférentiels, remboursement partiel
vacances, remboursement de votre abonnement sportif ou culturel
Nos engagements et priorités
Le groupe Capgemini encourage une
culture inclusive dans un cadre multiculturel et handi-accueillant.
En nous rejoignant, vous intégrez un collectif qui valorise la diversité, développe le potentiel de ses talents, s’engage dans des
initiatives solidaires avec ses partenaires, et se mobilise pour réduire son impact environnemental sur tous ses sites et auprès de ses clients.
Capgemini
est un
leader mondial
, responsable et multiculturel, regroupant près de 350 000 personnes dans plus de 50 pays. Fort de
55 ans d’expérience,
nous sommes un partenaire stratégique des entreprises pour la transformation de leurs activités en tirant profit de toute la puissance de la technologie et des innovations dans les domaines en perpétuelle évolution tels que le
cloud, la data, l’Intelligence Artificielle, la connectivité, les logiciels, l’ingénierie digitale ou les plateformes.
Get The Future You Want* | www.capgemini.com/fr-fr
*Capgemini, le futur que vous voulez
Show more
Show less","{'ProgLanguage': ['Python', 'Java', 'Scala', 'R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': ['Hadoop', 'Spark'], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': ['Git'], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': ['Big Data', 'Machine Learning', 'Cloud'], 'FrSoftSkills': ['Collaboration', 'Organisation'], 'EnSoftSkils': ['Collaboration', 'Initiative']}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': ['Bac+5'], 'Experience': ['a', 'n', 's', '4', '4', '4']}"
LinkedIn,DÉVELOPPEUR.EUSE DATA,Akademija Oxford,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-euse-data-at-akademija-oxford-3917871099?position=11&pageNum=0&refId=3%2BsKCnzKBomYeuJjjsOexw%3D%3D&trackingId=H45gptKDFqpuRTlD%2BOGEbA%3D%3D&trk=public_jobs_jserp-result_search-card,"Une entreprise du secteur de la prévoyance située à Paris recherche un.e Développeur.euse Data, rattaché au Responsable Data – BI dans le cadre d’un contrat d’apprentissage débutant en Septembre 2021.
Show more
Show less","{'ProgLanguage': ['R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': [], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': [], 'FrSoftSkills': [], 'EnSoftSkils': []}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's']}"
