srouce,title,company,location,link,description,skills,details
LinkedIn,DÉVELOPPEUR FULL STACK,Akademija Oxford,"Ille-et-Vilaine, Brittany, France",https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-full-stack-at-akademija-oxford-3917870321?position=2&pageNum=0&refId=4GOb2FVwGd%2FhAb4BG0QHJQ%3D%3D&trackingId=mLuuRksuYdHTc%2FpR2RYgDw%3D%3D&trk=public_jobs_jserp-result_search-card,"Vous cherchez une alternance ? Vous êtes passionné.e par le monde de l’informatique ? Vous êtes diplômé(e) ou futur diplômé(e) d’un BAC+3 ? Bonne nouvelle !
Notre école SUP DE VINCI Ingénierie des systèmes d’information recherche un(e) Développeur Full Stack en alternance, pour l’une de ses entreprises partenaires dans le cadre d’un Mastère en Développement.
Show more
Show less","{'ProgLanguage': ['R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': [], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': [], 'FrSoftSkills': [], 'EnSoftSkils': []}","{'JobDetail': ['Full'], 'TypeContract': [], 'Salary': [], 'Level': ['Bac+3'], 'Experience': ['a', 'n', 's']}"
LinkedIn,DÉVELOPPEUR JAVA,Akademija Oxford,"Ille-et-Vilaine, Brittany, France",https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-java-at-akademija-oxford-3917871117?position=3&pageNum=0&refId=4GOb2FVwGd%2FhAb4BG0QHJQ%3D%3D&trackingId=XvGdwgm3SNeaOLl%2Fi5Mw7w%3D%3D&trk=public_jobs_jserp-result_search-card,"L’école Sup de Vinci, Rennes, accompagne l’une de ses entreprises partenaires dans son projet de recrutement d’un profil développeur.se java en alternance pour la rentrée de Septembre 2021.
Durée du contrat : 24 mois
A noter : Sup de Vinci présentera à cette entreprise partenaire uniquement des candidats ayant passé les tests d’admission et qui seront admissibles dans son établissement.
Show more
Show less","{'ProgLanguage': ['Java', 'R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': [], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': [], 'FrSoftSkills': [], 'EnSoftSkils': []}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's']}"
LinkedIn,FULL STACK DEVELOPER,Vistingo,Saint Pierre and Miquelon,https://pm.linkedin.com/jobs/view/full-stack-developer-at-vistingo-3899623507?position=4&pageNum=0&refId=4GOb2FVwGd%2FhAb4BG0QHJQ%3D%3D&trackingId=S5PLF4e2mufN1nTgHwMr6g%3D%3D&trk=public_jobs_jserp-result_search-card,"Do you know the perfect equation to support, motivate and obtain the maximum potential of your employees in an organized and entertaining way? Vistingo is a digital, interactive platform based in Positive Psychology, targeting employees’ emotional wellbeing and their enjoyment in the workplace; developing social corporate responsibility that results in a higher productivity. Organizational development benefits are countless: personal development, interpersonal competence, participation, commitment, work satisfaction and work democracy feelings amongst employees. It is about contributing to make talent bloom in every worker that connects the business chain. Vistingo´s innovative platform offers a huge range of features that contribute to the emotional salary and social benefits, i.e.: events, clubs, discounts, participative ranking of employees and agenda of contents such as cultural plans, healthy lifestyle and family life. Also, during crisis periods, it offers a fantastic support, being possible to digitally interact with each employee to obtain a clear idea of their needs and worries. With this feedback, you can facilitate them with the necessary to keep performing at the required level. Vistingo helps you look after you employees first, so the rest comes by.
The Role
Responsibilities
Produce well designed efficient code in a timely manner to meet delivery timescales/milestones.
Should demonstrate the ability to handle multiple projects simultaneously, manage priorities and communicate progress effectively.
Produce significant, reusable, scalable code that adheres to industry standards and best practices.
Keep up with the latest web development methods and technologies, and apply them to the project.
Ideal Profile
Requirements
Mid-level experience for a start-up company.
A Filipino Citizen or Spanish Citizen
Angular is the programming language.
Must have 2+ years of experience in the same capacity.
Experience with JavaScript, Node.js, Express.js, and Angular, and database technology such as MySQL is required.
Experience with GitHub and advanced GitHub features.
Experience in responsive design, cross-browser compatibility, and website performance.
Excellent verbal communication skills. Strong team player and communicator. Good problem-solving skills.
Strong organizational skills and attention to detail.
What's on Offer?
Great work environment
Opportunity to make a positive impact
Work within a company with a solid track record of success
Show more
Show less","{'ProgLanguage': ['Java', 'Scala', 'R', 'Go', 'JavaScript'], 'DataBase': ['SQL'], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': ['Git'], 'Os': [], 'DBMS': ['MySQL'], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': [], 'FrSoftSkills': ['Communication'], 'EnSoftSkils': ['Communication', 'Organization']}","{'JobDetail': [], 'TypeContract': [], 'Salary': ['2'], 'Level': [], 'Experience': ['a', 'n', 's']}"
LinkedIn,Software Engineer - Early Career,Datadog,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/software-engineer-early-career-at-datadog-3887658751?position=5&pageNum=0&refId=4GOb2FVwGd%2FhAb4BG0QHJQ%3D%3D&trackingId=vv%2FXcmZidbvLz28bMZsPWw%3D%3D&trk=public_jobs_jserp-result_search-card,"We’re looking for early-career candidates to join us to help collect, aggregate, visualize, and analyze extremely high-scale metrics, logs, and application data. You'll join one of Datadog's software teams and work alongside other engineers to help solve complex problems. Whether you are writing a new integration, building data pipelines, or working with the open source community, our recent graduates are key contributors to our product. Students can sign up anytime for a free Datadog Pro account!
At Datadog, we place value in our office culture - the relationships that it builds, the creativity it brings to the table, and the collaboration of being together. We operate as a hybrid workplace to ensure our employees can create a work-life harmony that best fits them.
What You’ll Do:
Solve a scaling bottleneck in a critical service
Deploy a new feature to production and progressively roll it out with feature flags
Investigate and fix a production issue from a service your team owns
Create a way to optimize a service to handle more traffic at scale
In partnership with your team, plan the most important projects to work on next
Who You Are:
You are in the process of receiving/have a degree in Computer Science, Software Engineering or related scientific field, or equivalent experience
You are targeting a 2024 full-time start date
You are comfortable coding in one or more languages
You value code simplicity and performance
You have worked as a software engineering intern or have related experience
You want to work in a fast-paced environment that values its employees and customers
You are a self-starter who enjoys partnering with other engineers and solving difficult problems
Datadog values people from all walks of life. We understand not everyone will meet all the above qualifications on day one. That's okay. If you’re passionate about technology and want to grow your skills, we encourage you to apply.
Benefits and Growth:
New hire stock equity (RSUs) and employee stock purchase plan (ESPP)
Continuous professional development, product training, and career pathing
Intradepartmental mentor and buddy program for in-house networking
An inclusive company culture, ability to join our Community Guilds (Datadog employee resource groups) and monthly company social events
Relocation support and travel benefits
Unlimited snacks and drinks in our office; catered lunches on Monday, Wednesday, and Friday
Beautiful offices in convenient locations with amazing views
Free, global mental health benefits for employees and dependents age 6+
Benefits and Growth listed above may vary based on the country of your employment and the nature of your employment with Datadog.
Please ensure that you submit your CV/resume in English.
This role is located in our Paris office. Please submit one application for your top location preference (Paris, Lisbon, or Madrid) only. Please note that current authorization to work in France will be needed to complete the process for this role. However, international candidates currently studying in France are eligible for sponsorship.
About Datadog:
Datadog (NASDAQ: DDOG) is a global SaaS business, delivering a rare combination of growth and profitability. We are on a mission to break down silos and solve complexity in the cloud age by enabling digital transformation, cloud migration, and infrastructure monitoring of our customers’ entire technology stacks. Built by engineers, for engineers, Datadog is used by organizations of all sizes across a wide range of industries. Together, we champion professional development, diversity of thought, innovation, and work excellence to empower continuous growth. Join the pack and become part of a collaborative, pragmatic, and thoughtful people-first community where we solve tough problems, take smart risks, and celebrate one another. Learn more about #DatadogLife on Instagram, LinkedIn, and Datadog Learning Center.
Equal Opportunity at Datadog:
Datadog is an Affirmative Action and Equal Opportunity Employer and is proud to offer equal employment opportunity to everyone regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, veteran status, and more. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. Here are our Candidate Legal Notices for your reference.
Your Privacy:
Any information you submit to Datadog as part of your application will be processed in accordance with Datadog’s Applicant and Candidate Privacy Notice.
Show more
Show less","{'ProgLanguage': ['R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': ['Git'], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': ['Teams'], 'Other': ['Cloud'], 'FrSoftSkills': ['Collaboration'], 'EnSoftSkils': ['Creativity', 'Collaboration', 'Organization']}","{'JobDetail': ['Full'], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's']}"
LinkedIn,FULL STACK DEVELOPER,Vistingo,French Polynesia,https://pf.linkedin.com/jobs/view/full-stack-developer-at-vistingo-3899625198?position=6&pageNum=0&refId=4GOb2FVwGd%2FhAb4BG0QHJQ%3D%3D&trackingId=CnkvR06b%2BaeExmYYDRdQyg%3D%3D&trk=public_jobs_jserp-result_search-card,"Do you know the perfect equation to support, motivate and obtain the maximum potential of your employees in an organized and entertaining way? Vistingo is a digital, interactive platform based in Positive Psychology, targeting employees’ emotional wellbeing and their enjoyment in the workplace; developing social corporate responsibility that results in a higher productivity. Organizational development benefits are countless: personal development, interpersonal competence, participation, commitment, work satisfaction and work democracy feelings amongst employees. It is about contributing to make talent bloom in every worker that connects the business chain. Vistingo´s innovative platform offers a huge range of features that contribute to the emotional salary and social benefits, i.e.: events, clubs, discounts, participative ranking of employees and agenda of contents such as cultural plans, healthy lifestyle and family life. Also, during crisis periods, it offers a fantastic support, being possible to digitally interact with each employee to obtain a clear idea of their needs and worries. With this feedback, you can facilitate them with the necessary to keep performing at the required level. Vistingo helps you look after you employees first, so the rest comes by.
The Role
Responsibilities
Produce well designed efficient code in a timely manner to meet delivery timescales/milestones.
Should demonstrate the ability to handle multiple projects simultaneously, manage priorities and communicate progress effectively.
Produce significant, reusable, scalable code that adheres to industry standards and best practices.
Keep up with the latest web development methods and technologies, and apply them to the project.
Ideal Profile
Requirements
Mid-level experience for a start-up company.
A Filipino Citizen or Spanish Citizen
Angular is the programming language.
Must have 2+ years of experience in the same capacity.
Experience with JavaScript, Node.js, Express.js, and Angular, and database technology such as MySQL is required.
Experience with GitHub and advanced GitHub features.
Experience in responsive design, cross-browser compatibility, and website performance.
Excellent verbal communication skills. Strong team player and communicator. Good problem-solving skills.
Strong organizational skills and attention to detail.
What's on Offer?
Great work environment
Opportunity to make a positive impact
Work within a company with a solid track record of success
Show more
Show less","{'ProgLanguage': ['Java', 'Scala', 'R', 'Go', 'JavaScript'], 'DataBase': ['SQL'], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': ['Git'], 'Os': [], 'DBMS': ['MySQL'], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': [], 'FrSoftSkills': ['Communication'], 'EnSoftSkils': ['Communication', 'Organization']}","{'JobDetail': [], 'TypeContract': [], 'Salary': ['2'], 'Level': [], 'Experience': ['a', 'n', 's']}"
LinkedIn,Junior Backend Software Engineer,Batch,"Lyon, Auvergne-Rhône-Alpes, France",https://fr.linkedin.com/jobs/view/junior-backend-software-engineer-at-batch-3916613250?position=7&pageNum=0&refId=4GOb2FVwGd%2FhAb4BG0QHJQ%3D%3D&trackingId=qtTk7h0lisUZqjIOLnenvA%3D%3D&trk=public_jobs_jserp-result_search-card,"L’équipe Tech s’agrandit et recherche son/sa futur·e Backend Engineer Junior ! 👋
L'équipe Tech & Product chez Batch est composée de développeurs et développeuses (back, front, data, mobile), de SRE/DevOps, d'Engineering Managers ainsi que de Product Manager et Designers.
Elle est organisée en squads: 3 squads métiers, 1 squad Infra et 1 squad Platform.
Le/la Backend Engineer Junior travaille au sein d'une squad métier pour faire évoluer le produit de Batch afin de gérer de plus en plus de clients et envoyer de plus en plus de messages en temps réel.
👉 Missions
S’approprier et apporter un œil critique à l’état actuel du projet, et être en mesure de proposer des travaux dans le but d’anticiper et réduire la dette technique,
Participer, avec le reste de la squad, à l’architecture des nouvelles fonctionnalités,
Créer de nouveaux services pour accueillir ou fournir des données clients et échanger avec les SDK,
Concevoir de nouveaux applicatifs (micro services) pour rendre disponible la donnée,
Imaginer de nouvelles solutions techniques pour envoyer les bons messages au bon moment dans les meilleurs délais,
Maintenir l’existant pour supporter une charge toujours grandissante,
Par essence nous sommes très ouverts à la découverte de nouvelles technologies et nous serions ravis d’accueillir des idées nouvelles. Rejoindre cette équipe c’est être confronté à des challenges toujours grandissants et de les résoudre avec brio.
👉 Profil recherché
Première expérience en développement logiciel en entreprise (stage y compris)
Curiosité technique pour les plateformes à fort trafic ou gros volume
Protocole HTTP & design d’API REST
Git & utilisation d’une plateforme comme GitLab ou GitHub
Passion & autonomie, veille technique
Écriture de tests unitaires et fonctionnels
Français courant. L'anglais est fortement apprécié.
Les plus :
Compétences en Go ou Java
Expérience d’une base de données distribuée
Connaissances de Kafka et/ou Cassandra
Connaissances de Docker et/ou Kubernetes
Connaissances de Prometheus et Grafana
Connaissances de Protobuf ou autre format de sérialisation
👉 Process de recrutement:
Batch réalise tous ses entretiens de la même manière, en 4 étapes simples & lisibles pour tous les candidats :
1st Step: Premier call de prise de contact- 45 mins
2nd Step: Test technique ou use Case dans nos bureaux à Lyon - 1h30
Nous proposons un entretien inversé avec deux collaborateurs au sein des bureaux.
Ce n’est absolument pas qualifiant de notre côté, en revanche cela permettra d’échanger informellement lors d’un break et de poser toutes les questions souhaitées.
3rd Step: Visio avec le/la manager et le CTO - 45 min
Final Round: Visio avec un des co-fondateurs de Batch - 30 mins
Pour en savoir plus sur les avantages chez Batch, rendez-vous sur cette page !
Show more
Show less","{'ProgLanguage': ['Java', 'R', 'Go'], 'DataBase': ['Cassandra'], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': ['Git', 'Docker'], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': ['Kubernetes'], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': ['Docker', 'Kubernetes'], 'Collaboration': [], 'Other': ['DevOps'], 'FrSoftSkills': [], 'EnSoftSkils': []}","{'JobDetail': ['Junior'], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's']}"
LinkedIn,FULL STACK DEVELOPER,Vistingo,Martinique,https://mq.linkedin.com/jobs/view/full-stack-developer-at-vistingo-3899625197?position=8&pageNum=0&refId=4GOb2FVwGd%2FhAb4BG0QHJQ%3D%3D&trackingId=2S5wfOaaEl66LLBAZBwf3Q%3D%3D&trk=public_jobs_jserp-result_search-card,"Do you know the perfect equation to support, motivate and obtain the maximum potential of your employees in an organized and entertaining way? Vistingo is a digital, interactive platform based in Positive Psychology, targeting employees’ emotional wellbeing and their enjoyment in the workplace; developing social corporate responsibility that results in a higher productivity. Organizational development benefits are countless: personal development, interpersonal competence, participation, commitment, work satisfaction and work democracy feelings amongst employees. It is about contributing to make talent bloom in every worker that connects the business chain. Vistingo´s innovative platform offers a huge range of features that contribute to the emotional salary and social benefits, i.e.: events, clubs, discounts, participative ranking of employees and agenda of contents such as cultural plans, healthy lifestyle and family life. Also, during crisis periods, it offers a fantastic support, being possible to digitally interact with each employee to obtain a clear idea of their needs and worries. With this feedback, you can facilitate them with the necessary to keep performing at the required level. Vistingo helps you look after you employees first, so the rest comes by.
The Role
Responsibilities
Produce well designed efficient code in a timely manner to meet delivery timescales/milestones.
Should demonstrate the ability to handle multiple projects simultaneously, manage priorities and communicate progress effectively.
Produce significant, reusable, scalable code that adheres to industry standards and best practices.
Keep up with the latest web development methods and technologies, and apply them to the project.
Ideal Profile
Requirements
Mid-level experience for a start-up company.
A Filipino Citizen or Spanish Citizen
Angular is the programming language.
Must have 2+ years of experience in the same capacity.
Experience with JavaScript, Node.js, Express.js, and Angular, and database technology such as MySQL is required.
Experience with GitHub and advanced GitHub features.
Experience in responsive design, cross-browser compatibility, and website performance.
Excellent verbal communication skills. Strong team player and communicator. Good problem-solving skills.
Strong organizational skills and attention to detail.
What's on Offer?
Great work environment
Opportunity to make a positive impact
Work within a company with a solid track record of success
Show more
Show less","{'ProgLanguage': ['Java', 'Scala', 'R', 'Go', 'JavaScript'], 'DataBase': ['SQL'], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': ['Git'], 'Os': [], 'DBMS': ['MySQL'], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': [], 'FrSoftSkills': ['Communication'], 'EnSoftSkils': ['Communication', 'Organization']}","{'JobDetail': [], 'TypeContract': [], 'Salary': ['2'], 'Level': [], 'Experience': ['a', 'n', 's']}"
LinkedIn,FULL STACK DEVELOPER,Vistingo,Guadeloupe,https://gp.linkedin.com/jobs/view/full-stack-developer-at-vistingo-3899622606?position=9&pageNum=0&refId=4GOb2FVwGd%2FhAb4BG0QHJQ%3D%3D&trackingId=9h0IWaxach%2BZvHJ2nrzAdw%3D%3D&trk=public_jobs_jserp-result_search-card,"Do you know the perfect equation to support, motivate and obtain the maximum potential of your employees in an organized and entertaining way? Vistingo is a digital, interactive platform based in Positive Psychology, targeting employees’ emotional wellbeing and their enjoyment in the workplace; developing social corporate responsibility that results in a higher productivity. Organizational development benefits are countless: personal development, interpersonal competence, participation, commitment, work satisfaction and work democracy feelings amongst employees. It is about contributing to make talent bloom in every worker that connects the business chain. Vistingo´s innovative platform offers a huge range of features that contribute to the emotional salary and social benefits, i.e.: events, clubs, discounts, participative ranking of employees and agenda of contents such as cultural plans, healthy lifestyle and family life. Also, during crisis periods, it offers a fantastic support, being possible to digitally interact with each employee to obtain a clear idea of their needs and worries. With this feedback, you can facilitate them with the necessary to keep performing at the required level. Vistingo helps you look after you employees first, so the rest comes by.
The Role
Responsibilities
Produce well designed efficient code in a timely manner to meet delivery timescales/milestones.
Should demonstrate the ability to handle multiple projects simultaneously, manage priorities and communicate progress effectively.
Produce significant, reusable, scalable code that adheres to industry standards and best practices.
Keep up with the latest web development methods and technologies, and apply them to the project.
Ideal Profile
Requirements
Mid-level experience for a start-up company.
A Filipino Citizen or Spanish Citizen
Angular is the programming language.
Must have 2+ years of experience in the same capacity.
Experience with JavaScript, Node.js, Express.js, and Angular, and database technology such as MySQL is required.
Experience with GitHub and advanced GitHub features.
Experience in responsive design, cross-browser compatibility, and website performance.
Excellent verbal communication skills. Strong team player and communicator. Good problem-solving skills.
Strong organizational skills and attention to detail.
What's on Offer?
Great work environment
Opportunity to make a positive impact
Work within a company with a solid track record of success
Show more
Show less","{'ProgLanguage': ['Java', 'Scala', 'R', 'Go', 'JavaScript'], 'DataBase': ['SQL'], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': ['Git'], 'Os': [], 'DBMS': ['MySQL'], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': [], 'FrSoftSkills': ['Communication'], 'EnSoftSkils': ['Communication', 'Organization']}","{'JobDetail': [], 'TypeContract': [], 'Salary': ['2'], 'Level': [], 'Experience': ['a', 'n', 's']}"
LinkedIn,FULL STACK DEVELOPER,Vistingo,French Guiana,https://gf.linkedin.com/jobs/view/full-stack-developer-at-vistingo-3899619908?position=10&pageNum=0&refId=4GOb2FVwGd%2FhAb4BG0QHJQ%3D%3D&trackingId=jp5GvSdFbm4i3%2Bzy4a5oAA%3D%3D&trk=public_jobs_jserp-result_search-card,"Do you know the perfect equation to support, motivate and obtain the maximum potential of your employees in an organized and entertaining way? Vistingo is a digital, interactive platform based in Positive Psychology, targeting employees’ emotional wellbeing and their enjoyment in the workplace; developing social corporate responsibility that results in a higher productivity. Organizational development benefits are countless: personal development, interpersonal competence, participation, commitment, work satisfaction and work democracy feelings amongst employees. It is about contributing to make talent bloom in every worker that connects the business chain. Vistingo´s innovative platform offers a huge range of features that contribute to the emotional salary and social benefits, i.e.: events, clubs, discounts, participative ranking of employees and agenda of contents such as cultural plans, healthy lifestyle and family life. Also, during crisis periods, it offers a fantastic support, being possible to digitally interact with each employee to obtain a clear idea of their needs and worries. With this feedback, you can facilitate them with the necessary to keep performing at the required level. Vistingo helps you look after you employees first, so the rest comes by.
The Role
Responsibilities
Produce well designed efficient code in a timely manner to meet delivery timescales/milestones.
Should demonstrate the ability to handle multiple projects simultaneously, manage priorities and communicate progress effectively.
Produce significant, reusable, scalable code that adheres to industry standards and best practices.
Keep up with the latest web development methods and technologies, and apply them to the project.
Ideal Profile
Requirements
Mid-level experience for a start-up company.
A Filipino Citizen or Spanish Citizen
Angular is the programming language.
Must have 2+ years of experience in the same capacity.
Experience with JavaScript, Node.js, Express.js, and Angular, and database technology such as MySQL is required.
Experience with GitHub and advanced GitHub features.
Experience in responsive design, cross-browser compatibility, and website performance.
Excellent verbal communication skills. Strong team player and communicator. Good problem-solving skills.
Strong organizational skills and attention to detail.
What's on Offer?
Great work environment
Opportunity to make a positive impact
Work within a company with a solid track record of success
Show more
Show less","{'ProgLanguage': ['Java', 'Scala', 'R', 'Go', 'JavaScript'], 'DataBase': ['SQL'], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': ['Git'], 'Os': [], 'DBMS': ['MySQL'], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': [], 'FrSoftSkills': ['Communication'], 'EnSoftSkils': ['Communication', 'Organization']}","{'JobDetail': [], 'TypeContract': [], 'Salary': ['2'], 'Level': [], 'Experience': ['a', 'n', 's']}"
LinkedIn,APPRENTI DATA ENGINEER (H/F),Akademija Oxford,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/apprenti-data-engineer-h-f-at-akademija-oxford-3917872047?position=11&pageNum=0&refId=4GOb2FVwGd%2FhAb4BG0QHJQ%3D%3D&trackingId=nQP9b4WvBRLsqjFwn3HnYg%3D%3D&trk=public_jobs_jserp-result_search-card,"Une de nos entreprises partenaires, ESN située à Paris, recherche un Apprenti Data Engineer (H/F) préparant un bac +4/+5 spécialité Big Data pour la rentrée de Septembre 2021.
Show more
Show less","{'ProgLanguage': ['R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': [], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': ['Big Data'], 'FrSoftSkills': [], 'EnSoftSkils': []}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's']}"
