Job reference,Job title,Date de publication,Company,Location,Contract type,URL,Salary,Experience,Education level,Skills,Description
167ZDDW,Senior Data Engineer (H/F),Publié il y a 3 jours,AK RECRUTEMENT ,26,CDI,https://candidat.pole-emploi.fr/offres/recherche/detail/167ZDDW,"Salaire brut : Annuel de 45000,00 Euros à 60000,00 Euros sur 12 mois",5 ans,N/A,"['Concevoir et gérer un projet', ""Concevoir un logiciel, un système d'informations, une application"", 'Évaluer le résultat de ses actions']","Notre client est une entreprise spécialisée dans la sous-traitance industrielle.

Vous serez intégré à l'équipe applicative IT du groupe. 

Missions : 

Gestion de la donnée : 

-Documenter et définir en partenariat Métier / IT les usages de collectes et les règles inter-métier et inter-outils
-Contrôler, mesurer et évaluer les processus d'amélioration de la qualité de la donnée (en partenariat avec les équipes métier, système qualité et amélioration continue)
-Assurer la mise en place et le respect des règles de sécurité de la données 

Administration datawarehouse : 

-Etudier la structuration de notre datawarehouse
-Optimiser et maintenir les flux existants
-Créer de nouveaux flux
-Industrialiser les nouveaux besoins via datamarts / Cubes
-Maîtriser et industrialiser les intégrations de filiales

Reporting & Data vizualisation : 

-Maintenir et créer le reporting corporate
-Veiller à la qualité des spécifications associées
-Construire une roadmap cohérente à plusieurs étages incluant la granularité adaptée 
-Mettre en place un reporting autour de nos solutions (ERP, eQMS, MDM, CRM ...)

ETL : 

-Etudier la migration de notre outil actuel
-Penser et construire la feuille de route pérenne pour accompagner la croissance forte du business et des acquisitions (en cours et à venir)
-Développer de nouveaux flux
-Gérer la mise à disposition et la consommation des APIs internes et externes
-Mettre en place et maintenir les interfaces et passerelles avec l'extérieur
 

Conditions de poste : 

Contrat CDI
Salaire : 45 - 60 K brut annuel + variable
RTT
Ticket restaurant (au bout d'un an d'ancienneté) 
Projets passionnants
formation continue

Profil recherché  
Profil du candidat et qualifications :

-Issu d'une formation supérieure en IT, de type école d'Ingénieur ou équivalent universitaire, vous affichez une expérience d'au moins 5 ans dans le domaine du data management.
-Vous maîtrisez les architectures de flux de données (alimentation, structuration, extraction) et la manipulation d'outils de BI.
-Vous avez une appétence pour l'acculturation des métiers et de bonnes capacités de communication et de pédagogies pour échanger avec les diverses parties prenantes.
-La connaissance d'outils de modélisation et de Python sera considérée comme un réel plus. Une expérience dans le secteur de l'Industrie sera fortement appréciée
-Projets d'envergure internationale.

Compétences

-Connaissance de la conception et du développement de tous les composants d'une application décisionnelle
-ETL, middleware, ESB
-Data Warehousing , OLAP
-BI et Data vizualisation, QlickSense (privilégié), Power BI ou Tableau (apprécié)
-Connaissance de la base de données et du langage SQL (SQL Server, Oracle, PostgreSQL, noSQL )
-Connaissance éventuelle du développement web complémentaire des solutions BI (pile technique HTML/CSS, JS/TS, un parmi React/Angular/Vue.js, .NET Core et/ou Node.js)
-Connaissance d'un ou plusieurs composants et outils de Microsoft tels Azure SQL/Synapse Analytics, SQL Server SSIS/SSAS, Power BI/DAX 
-Connaissances en sécurité informatique / secure by design"
167YRXQ,Data Engineer / Développeur BI BigData H/F,Publié il y a 3 jours,SOCIETE AIR FRANCE ,6,CDI,https://candidat.pole-emploi.fr/offres/recherche/detail/167YRXQ,Salaire brut : en fonction du profil,3 ans,Bac+5 et plus ou équivalents langages informatiques,"['Application web', 'Concevoir une application web', 'Déterminer des mesures correctives', 'Réaliser un diagnostic technique', 'Rédiger un cahier des charges, des spécifications techniques']","Au sein de notre département, vous travaillerez main dans la main avec d'autres Data Engineers ainsi qu'avec des spécialistes des métiers.
Intégré au sein d'une product team agile passionnée et dynamique :
1. Vous participez à l'analyse des besoins métiers du commercial, des opérations aériennes, d el'exploitation sol en aéroport, de la maintenance aéronautique ou encore du Cargo.
2. Vous contribuez à la définition, au développement, à l'industrialisation et à la maintenance d'applications Big Data ou en Business Intelligence
3. Vous présentez la restitution de vos travaux et accompagnez les utilisateurs d'un point de vue fonctionnel ou méthodologique
Vous serez en contact avec les directions métier du groupe Air France KLM.
Nous attachons beaucoup d'importance au développement des compétences de nos collaborateurs ainsi qu'à leur offrir des conditions de travail favorables à l'autonomie et aux missions à forte valeu rajoutée. L'ouverture, le respect, la bienveillance et le partage sont des valeurs humaines portées par l'entreprise. 

Profil recherché
Vous êtes diplômé de niveau Master ou Ingénieur dans les domaines informatiques, vous avez acquis une expérience professionnelle dans le développement d'applications.
- Vous disposez d'une expérience du développement indispensable en Backend / Java
- Vous maîtrisez les bases de données relationnelles et le langage SQL
En complément, vous avez une connaissance ou une expérience dans tout ou partie des concepts ououtils suivants :
- Base de données noSQL (MongoDB, HBase, REDIS) ou Data Warehouse Teradata
- Environnement Big Data (Spark, Hadoop, Elasticsearch, Kafka, ...)
- Outil de Datavisualisation (Spotfire, PowerBI, Qlik ou Kibana)
- Solutions de Cloud hybride
(Ces compétences complémentaires ou manquantes pouvant aussi s'acquérir à travers un parcoursde reskilling et de formations aux outils du data engineering dispensé en interne).
Vous avez participé à des projets organisés en Scrum ou Kanban, et avez peut-être même oeuvré comme Scrum-Master, ce qui vous permettra de vous intégrer aisément au sein d'une Product Team.Votre esprit de synthèse, votre force de conviction et votre maîtrise de la communication facilitent les décisions avec l'ensemble des collaborateurs de l'équipe, éventuellement en langue anglaise, à l'écrit comme à l'oral.
Vous êtes autonome, rigoureux(se), responsable et curieux(se), vous aimez travailler en équipe.Vous possédez de bonnes capacités d'écoute, d'analyse, de synthèse et de communication.
Et bien sûr, vous êtes passionné(e), enthousiaste et ingénieux(se)

Ce que nous vous offrons
- De la création de valeur pour l'ensemble des métiers d'Air France KLM
- Des challenges et problématiques complexes à résoudre
- L'opportunité de déployer des solutions Data industrielles à l'échelle !
- Une grande part de responsabilité dans une structure hiérarchique horizontale
- Un important degré de liberté pour apprendre et développer son expertise au sein de l'équipe
On vous attend le plus rapidement possible ! Et pour une durée indéterminée !"
167YCFR,Data Engineer (H/F),Publié il y a 4 jours,RYTE FRANCE ,75,CDI,https://candidat.pole-emploi.fr/offres/recherche/detail/167YCFR,Salaire brut : Primes,4 ans,N/A,[],"Responsabilités : 

Comprendre les exigences complexes des entreprises du secteur de la santé et fournir des solutions aux problèmes de l'entreprise. 

Définir les meilleures pratiques en matière d'ingénierie des données et les partager au sein de l'organisation. 

Comprendre l'approche moderne de l'architecture des données, y compris pilotée par les événements, le flux de données et le maillage des données. 

Comprendre les exigences de conformité des soins de santé (HIPAA, GDPR) et leur applicabilité à l'ingénierie des données. 

Créer et maintenir une architecture de pipeline de données optimale. 

Définir l'orientation technique en concevant des solutions à des problèmes complexes. 

Améliorer la performance, l'observabilité et la fiabilité de nos pipelines de données. 

Mettre en œuvre les meilleures pratiques de gouvernance des données en termes de catalogage des données, de lignage et de gestion des métadonnées. 

Travailler avec des ensembles de données financières complexes et de grande taille qui nécessitent un traitement et une transformation sophistiqués. 

Identifier, concevoir et mettre en œuvre des améliorations des processus internes : automatisation des processus manuels, optimisation de la livraison des données, reconception de l'infrastructure pour une plus grande évolutivité, etc. 

Construire une infrastructure résiliente et maintenable nécessaire à l'extraction, la transformation et le chargement optimaux des données à partir d'une grande variété de sources de données. 

Travailler au sein d'une équipe de développement Agile avec les parties prenantes pour développer de nouvelles fonctionnalités afin de répondre à leurs besoins en matière d'infrastructure de données. 

Travailler avec des experts en données et en analyse pour améliorer la fonctionnalité de nos systèmes de données. 

Encadrer les membres de l'équipe moins expérimentés en leur apportant des conseils et une supervision constructive. 

Qualifications : 

Diplôme d'ingénieur ou d'informaticien. 

Solide expérience dans l'utilisation de solutions modernes d'entreposage de données, de préférence des solutions en nuage. 

Expérience de la méthodologie Agile indispensable 

Expérience de l'application de cadres et de méthodes modernes de gestion des données 

Excellentes compétences en matière de documentation 

Gestion de projets/changements techniques 

Forte compréhension des bases de données RDBMS et NoSQL 

Une expérience de travail avec des bases de données graphiques est un plus 

Un ou plusieurs éléments dans chacune de ces catégories : 

o ETL : Spark, Azure Data Factory, DBT, pandas, Kafka Streams 

o Traitement des files d'attente et des flux : Spark Streaming ; Event Hub ; Kafka. 

o NoSQL : Cassandra, Azure Cosmos, Elasticsearch, MongoDB 

o Langages de programmation : Python, SQL, Spark (Scala/PySpark) 

o Développement d'API : GraphQL, Rest, Thrift 

3+ ans d'expérience en tant qu'ingénieur de données senior avec les composants de données Azure, par exemple : Spark/Databricks, Data Lake, Data Factory, Synapse Analytics 

3+ ans d'expérience en architecture de données, analyse de données, ETL et/ou modélisation de données 

3+ ans d'expérience actuelle et approfondie dans la mise en œuvre d'engagements de grande envergure. Expérience avérée de la gestion de projets tout au long de leur cycle de vie. Cela inclut la gestion de projets multi-phases/multi-dimensionnels/multi-ressources jusqu'à leur conclusion tout en maintenant un haut niveau de satisfaction du client. 

2 ans d'expérience ou plus et des connaissances approfondies dans un ou plusieurs secteurs verticaux : fabrication, services financiers, gouvernement, juridique, soins de santé, gestion immobilière. 

Excellente maîtrise de l'anglais parlé et écrit"
167XQVY,Data Engineer (H/F),Publié il y a 4 jours,N/A,PARIS 09 75,CDI,https://candidat.pole-emploi.fr/offres/recherche/detail/167XQVY,"Salaire brut : Annuel de 45000,00 Euros à 55000,00 Euros sur 12 mois",1 an,N/A,"['Concevoir et gérer un projet', ""Concevoir un logiciel, un système d'informations, une application"", 'Évaluer le résultat de ses actions', ""Analyse d'incidents"", 'Gérer une base de données numériques', 'Identifier les besoins en logiciel', 'Piloter une activité', 'Réaliser une veille technique ou technologique pour anticiper les évolutions']","Si vous pensez que la Data et l'Intelligence Artificielle ont beaucoup à offrir au monde de demain. Et si vous souhaitez apporter votre contribution à ce monde, avec humilité et enthousiasme, alors vous êtes un Wyser en puissance.

Être Data Engineer chez Wewyse c'est :

-Intégrer une communauté d'experts Data passionnés.
-Recevoir et partager de la connaissance et des savoirs-faire lors de nombreux évènements.
-Intervenir chez des clients pour y porter l'expertise Wewyse dans des contextes et des secteurs variés.
-Participer à des projets innovants au sein de notre Datalab, avec des Wysers mais aussi avec des partenaires académiques et des start up.
-Viser l'excellence des développement en s'appuyant sur le Software craftsmanship.
-Concevoir des architectures logicielles modernes.
-Penser DevOps pour l'automatisation des déploiements et la continuité des services.
-Être encouragé, conseillé et accompagné dans un parcours de formation adapté à vos ambitions professionnelles."
167XQCW,Data Engineer (H/F) ARANUM24,Publié il y a 4 jours,CAMPUS REGION DU NUMERIQUE CBTW ,69,CDI,https://candidat.pole-emploi.fr/offres/recherche/detail/167XQCW,"Salaire brut : Annuel de 30000,00 Euros à 50000,00 Euros sur 12 mois",3 ans,N/A,"['Python', 'Spark / Scala']","En tant que Data Engineer de 3 ans d'expérience significative, passionné par l'ingénierie des données et possédant une solide expérience en conception, développement et maintenance de pipelines de données robustes et évolutifs, tu participeras à un ou plusieurs projets pour nos clients et à toutes les phases de mise en œuvre d'un projet DATA.

Nous cherchons quelqu'un qui a des compétences techniques solides dans les domaines suivants :

- Conception et développement de solutions de stockage de données, telles que des data warehouses et des data lakes
- Mise en place de flux de travail pour l'extraction, la transformation et le chargement de données (ETL)
- Maîtrise d'au moins un langage de programmation couramment utilisé dans l'ingénierie des données, tels que Python ou Scala
- Connaissance de l'utilisation de technologies de traitement de données distribuées, telles que Hadoop, Spark
- Compréhension des principes fondamentaux des bases de données relationnelles et non relationnelles
- Capacité à travailler avec des outils d'automatisation et de gestion de code, tels que Git, Jenkins ou Ansible
- Veiller à ce que les pipelines de données déployés soient sécurisés et clairs pour être analysés et transformés

Tu travailleras au sein d'une équipe 100% agile
Tu auras l'occasion de collaborer sur des projets te permettant d'évoluer sur les bonnes pratiques. L'opportunité, pour toi, d'évoluer dans divers secteurs d'activité comme dans les milieux des médias, de l'énergie, du luxe, ect.

Profil recherché : 

Tu es issu(e) d'une formation d'ingénieur en Informatique Grandes Ecoles, ou troisième cycle universitaire - niveau Master 2 (Bac +5), ou Licence/Bac+2
Tu es un(e) passionné(e) des technologies web et architectures orientées services, aux processus d'intégration continue et de déploiement continu, et bien sûr de la big data,
Tu as une expérience réussie de plus de 3 ans,
Tu as un état d'esprit collaboratif et travailler en équipe est essentiel pour toi,
Tu es à l'aise en communication pour t'exprimer en français et tu disposes d'un niveau B2 en anglais minimum.

Ce qui t'attend chez CBTW :

Rejoindre l'agence de Lyon te permettra de renforcer une communauté de passionnés avec qui tu développeras continuellement tes connaissances en imaginant les meilleurs solutions. Ainsi, tu bénéficieras au quotidien :

- Te former et travailler sur des technologies porteuses,
- L'opportunité de contribuer au développement de nos offres et solutions,
- Suivis de carrière personnalisés, dans une entreprise qui souhaite te faire évoluer,
- Bénéficier de moments d'échanges et de formations pour faire perdurer tes connaissances technologiques.

Tu es curieux(se) de découvrir différents environnements et intégrer une entreprise à taille humaine
Ce poste est fait pour toi alors n'hésite pas à postuler pour rejoindre l'aventure !"
167XKDJ,Data Engineer (H/F),Publié il y a 4 jours,ECCO TECHNOLOGIES ,31,CDI,https://candidat.pole-emploi.fr/offres/recherche/detail/167XKDJ,"Salaire brut : Mensuel de 30000,00 Euros à 55000,00 Euros sur 12 mois",3 ans,N/A,"['Concevoir et gérer un projet', ""Concevoir un logiciel, un système d'informations, une application"", 'Évaluer le résultat de ses actions']","Nous recherchons pour notre partenaire, leader national dans son secteur, notre prochain Data Engineer qui intègrera un des projets axé sur le traitement en temps réel des données provenant du site des réservations. En tant que Data Engineer, vous jouerez un rôle clé dans l'insertion et l'agrégation de ces données dans leur Data Warehouse, répondant ainsi aux besoins de reporting.
La partie restitution s'effectuera via SAP BI 4, offrant des opportunités passionnantes dans un environnement riche et varié.

Responsabilités :
Superviser le projet de notre partenaire, composé de dizaines de modules et existant depuis 10 ans.
Gérer l'équipe de Data Engineers et assurer une collaboration efficace.
Traiter un volume important de données tout en optimisant les performances des streams.
Travailler avec diverses technologies pour relever les défis du projet.

Qualifications et Compétences :
Expérience avérée dans la gestion de projets complexes, idéalement dans le secteur de l'aviation.
Compétences techniques solides en traitement de données et utilisation de SAP BI 4.
Capacité à travailler avec diverses technologies et à résoudre des problèmes complexes.
Excellentes compétences en leadership et en gestion d'équipe.

Opportunités Offertes :

Rejoignez une équipe passionnée travaillant sur un projet d'envergure avec des opportunités d'apprentissage constant. Profitez d'un environnement collaboratif où votre expertise sera valorisée."
167VFJL,DATA ENGINEER - BUSINESS INTELLIGENCE (H/F),Publié il y a 6 jours,SAS K-LAGAN FRANCE ,75,CDI,https://candidat.pole-emploi.fr/offres/recherche/detail/167VFJL,"Salaire brut : Annuel de 55000,00 Euros à 60000,00 Euros sur 12 mois",3 ans,N/A,"['Application web', 'Concevoir une application web', 'Déterminer des mesures correctives', 'Recueillir et analyser les besoins client', 'Rédiger un cahier des charges, des spécifications techniques']","Chez K-LAGAN & Kereon, nous parions sur vous ! 

Vous êtes à la recherche d'un projet stable et durable ? Vous cherchez à vous épanouir professionnellement jour après jour ? N'hésitez pas à rejoindre notre équipe ! Vous êtes intéressé ?
Alors, je vous laisse l'opportunité d'en lire plus...

Nous sommes à la recherche d'un(e) ingénieur(e) / analyste de données hautement qualifié(e) et motivé(e) pour rejoindre notre équipe de données financières : Data Engineer BI.

Contexte : Vous jouerez un rôle essentiel dans la conception, le développement et la maintenance des solutions de données qui soutiennent les opérations financières et processus de prise de décision chez notre client, acteur majeur du marché de l'assurance (en France et à l'international).

Responsabilités :

Concevoir, développer et maintenir des pipelines de données et des processus ETL pour ingérer, transformer et charger des données provenant de diverses sources financières dans notre plateforme de données.

Vous dirigez la mise en place de l'organisation et de la gestion de l'ensemble des activités de l'entreprise, de la mise en place de l'organisation et de la gestion de l'ensemble des activités de la société.

 Développer et optimiser des requêtes SQL, des scripts PySpark, des calculs DAX et des transformations Power Query M pour extraire et manipuler des données.

Vous avez l'habitude de travailler dans un environnement sandbox sur Power BI Services (l'utilisation de Dax et Query M est obligatoire).

Utiliser efficacement les services et outils Azure pour construire des solutions de données évolutives et performantes.
Vous travaillez en étroite collaboration avec l'équipe de gestion des données pour soutenir la gouvernance des données et garantir le respect des normes et des meilleures pratiques en matière de données.

Vous superviserez l'élaboration et de la mise en œuvre d'un plan d'action pour l'amélioration de la qualité de l'eau et de l'assainissement.

Livrables demandés :

Contribuer à la livraison et au succès d'un portefeuille de projets, y compris des tâches backend telles que l'extraction de données, l'ingestion, la préparation de tables et la transformation de données, ainsi que des tâches front-end telles que les aspects de visualisation sur Power BI.

Documentation claire et complète des processus d'ingénierie des données
Environnement technique : Shine, Azure Devops, Azure et Power BI.

Expérience souhaitée :

Baccalauréat en informatique, en systèmes d'information ou dans un domaine connexe.

Expérience confirmée en tant que Data Engineer ou Data Analyst, de préférence dans le domaine de la finance ou de l'assurance. 3 ans d'expérience (hors stage-alternance)."
167VBYF,DATA ENGINEER (H/F),Publié il y a 6 jours,SAS K-LAGAN FRANCE ,75,CDI,https://candidat.pole-emploi.fr/offres/recherche/detail/167VBYF,Salaire brut : Chèque repas,2 ans,N/A,"['Adapter les outils de traitement statistique de données', 'Présenter et diffuser les résultats des études réalisées', 'Réaliser une étude', ""Rédiger l'information produite""]","Nous sommes à la recherche d'un/e DATA ENGINEER confirmé (+3 ans) capable d'accompagner nos clients dans une mission de conseil de d'implémentation d'une nouvelle architecture Data. 

Compétences requises :

- Technos : AWS et/ou GCP et/ou Azure.

- Bonne maitrise en Python, Spark.

- Autres technologies.

 CONDITIONS :
- CDI, ASAP.
- France, IDF et autres localisations dans tout le territoire national.
- Rémunération et conditions très intéressantes, selon profil. Ouverts à négociation.
- Projet et missions au sein d'une équipe et société en évolution.
- Formations et suivi de carrières.
- Suivi régulier
- Formation (technologie, langues, cours de formation, certifications...)

Nous offrons :
- Contrat à durée indéterminée
- Teambuilding
- 1 jour de congés exceptionnel pour votre anniversaire
- Événements festifs organisés par l'entreprise (repas d'été, repas de Noël, journée de solidarité)"
167NWLH,Consultant.e Data Engineer / Data Analyste (H/F),Publié il y a 11 jours,STARCLAY ,92,CDI,https://candidat.pole-emploi.fr/offres/recherche/detail/167NWLH,"Salaire brut : Annuel de 40000,00 Euros sur 12 mois",Débutant accepté,Bac+5 et plus ou équivalents informatique et systèmes d'information,"['Présenter et diffuser les résultats des études réalisées', 'Réaliser une étude', 'Adapter les outils de traitement statistique de données', ""Rédiger l'information produite""]","En tant que Data Engineer chez StarClay, vous serez chargé d'interagir avec nos clients sur différents domaines d'interventions stratégiques.

Vos missions seront de :
- Recueillir les besoins métier et traduction en besoins technique.
- Définir l'architecture du besoin.
- Réaliser la mise en place d'une base de données.
- Définir l'architecture du flux de données.
- Récupérer les données via une API.
- Créer une visualisation des données.
- Concevoir et maintenir des pipelines de données robustes.
- Intégrer différentes sources de données et veiller à leur qualité.
- Optimiser les performances des pipelines de données.
- Garantir la sécurité des données.

Profil recherché :
- Diplôme BAC+5 en informatique ou génie logiciel.
- Connaissances de l'environnement technique.
- Une connaissance de l'IA Générative serait un plus. 
- Expérience en gestion de bases de données et ETL.
- Compréhension de la sécurité des données.
- Esprit d'équipe et capacité de collaboration.
- La connaissance de la langue Anglaise est un plus.


Avantages : 
- Titre de transport pris en charge à 100% ; Ticket restaurant 9euros/ jour; Accès Gymlib; Mutuelle Familiale; Campus digital
- Télétravail possible : 2 jours par semaine"
167MKYX,Data Engineer (3 ans d'exp min) (H/F),Publié il y a 12 jours,DATAYETT CONSULTING ,33,CDI,https://candidat.pole-emploi.fr/offres/recherche/detail/167MKYX,"Salaire brut : Annuel de 40000,00 Euros à 50000,00 Euros sur 12 mois",3 ans,N/A,"['Adapter les outils de traitement statistique de données', 'Big data Analytics', 'Présenter et diffuser les résultats des études réalisées', 'Réaliser une étude', ""Rédiger l'information produite""]","Chez Datayett, une entreprise jeune et dynamique spécialisée dans les solutions de traitement des données, nous recherchons un(e) Data Engineer passionné(e) et motivé(e) pour rejoindre notre équipe. Si vous êtes prêt(e) à relever des défis stimulants, à travailler dans un environnement innovant alors nous sommes impatients de vous rencontrer !


Description de l'emploi :
En tant que Data Engineer chez Datayett, vous jouerez un rôle clé dans la conception, le développement et la mise en œuvre de solutions Data. Vous travaillerez en étroite collaboration avec notre équipe talentueuse et multidisciplinaire pour résoudre des problèmes complexes et relever les défis liés à la gestion des données. En tant que Data Engineer, vous participerez à la conception, au développement et à la mise en œuvre de solutions Data, BI & Analytics.


Responsabilités :
Collaborer avec l'équipe pour comprendre les besoins Data et les objectifs du projet.
Concevoir et développer des pipelines Data robustes et évolutifs à l'aide d'outils tels qu'Informatica, DBT et Airflow pour l'ingestion, le traitement et la transformation des données.
Participer à l'optimisation des performances des systèmes de traitement des données.
Assurer la qualité et l'intégrité des données tout au long du processus.


Exigences :
Diplôme universitaire en informatique, en génie logiciel, en statistiques ou dans un domaine connexe.
4 ans d'expériences dans le domaine de la Data.
Solides compétences en programmation, de préférence en Python, SQL et/ou R.
Expérience avec les plateformes cloud Azure, GCP ou AWS pour le déploiement et la gestion des solutions de données.
Connaissance des outils ETL tels qu'Informatica, Dbt et Airflow pour le traitement et la transformation des données.
Compréhension des concepts de bases de données relationnelles et de l'architecture des entrepôts de données et des outils tels que Snowflake, MangoDB Redshift etc...
Capacité à travailler en équipe, à communiquer efficacement et à s'adapter rapidement.
Passion pour les données, la résolution de problèmes et la recherche de solutions innovantes


Localisation: Bordeaux.

Rejoignez notre équipe chez Datayett pour contribuer à façonner l'avenir des solutions Data."
