Company,Domaine,Taille,Lieu,Titre,Date publication,Contrat,teletravail,Education,Experience,Salaire,Link
OSE Engineering,"Logiciels, Intelligence artificielle / Machine Learning, Big Data",40 collaborateurs,Saint-Rémy-Lès-Chevreuse,Ingénieur(e) IA - C++ | 100 % télétravail,il y a 12 jours,CDI,Télétravail total,N/A,Éducation : > Bac +5 / Doctorat,Non spécifié,https://www.welcometothejungle.com/fr/companies/ose-engineering/jobs/ingenieur-ia-c-100-teletravail_saint-remy-les-chevreuse?q=0a4d98d15911c8f6c01894a7d997b9e0&o=3ec2b186-7ede-431d-8e17-1ef684e25eb9&p=true
Thélio,"IT / Digital, Stratégie, Big Data",60 collaborateurs,Lyon,Chef de projet Data (H/F),hier,CDI,Télétravail fréquent,N/A,Expérience : > 5 ans,40K à 50K €,https://www.welcometothejungle.com/fr/companies/thelio/jobs/chef-de-projet-data-h-f_lyon?q=32a4d0b31afee36b8d954c85be9ff0ff&o=ff9572e2-7fd9-4113-841e-de65a2132738
Tarkett,Bâtiment / Travaux publics,12000 collaborateurs,Puteaux,Data Project Coordinator / Chargé(e) de données PIM DAM (F/H),il y a 12 jours,CDD / Temporaire,Télétravail fréquent,N/A,Expérience : > 6 mois,Non spécifié,https://www.welcometothejungle.com/fr/companies/tarkett/jobs/data-project-coordinator-charge-de-donnees-pim-dam-f-h_puteaux?q=32a4d0b31afee36b8d954c85be9ff0ff&o=ff93b87f-e1cd-41c8-abfc-efbbf1d37fd1
Accor Tech & Digital,"Chiffre d'affaires : 4,224 millions euros in 2022 ",non spécifié,Issy-Les-Moulineaux,Data Analytics Engineer H/F/X,hier,CDI,Télétravail non autorisé,N/A,Expérience : > 5 ans,Non spécifié,https://www.welcometothejungle.com/fr/companies/accor-tech-and-digital/jobs/data-analytics-engineer-h-f-x_issy-les-moulineaux?q=32a4d0b31afee36b8d954c85be9ff0ff&o=ff6a2993-f792-4e34-a2d5-5ca0f9de41fe
Amazon Web Services,SaaS / Cloud Services,non spécifié,Paris,"Data Center Security Manager, DC Security",le mois dernier,CDI,Télétravail non autorisé,N/A,Expérience : > 3 ans,Non spécifié,https://www.welcometothejungle.com/fr/companies/amazon-web-services/jobs/data-center-security-manager-dc-security_paris_AWS_3zjNNpy?q=32a4d0b31afee36b8d954c85be9ff0ff&o=ff5a83de-c4c0-423d-b2b6-ad92c2615aa6
Artefact,"Intelligence artificielle / Machine Learning, Digital Marketing / Data Marketing",1100 collaborateurs,Paris,Senior Data Scientist,il y a 15 jours,CDI,Télétravail non autorisé,N/A,Expérience : > 2 ans,Non spécifié,https://www.welcometothejungle.com/fr/companies/artefact/jobs/senior-data-scientist_paris_ARTEF_AJ288jP?q=32a4d0b31afee36b8d954c85be9ff0ff&o=ff42799d-7a0a-42a9-8e50-0341edc39b15
Elevate,"Digital Marketing / Data Marketing, IT / Digital, Recrutement",120 collaborateurs,"Paris, Lille, Nantes…+2",Consultant.e Data Marketing Confirmé.e ,il y a 16 jours,CDI,Télétravail fréquent,N/A,Expérience : > 2 ans,Non spécifié,https://www.welcometothejungle.com/fr/companies/elevate/jobs/consultant-e-data-marketing-h-f-cdi_paris?q=32a4d0b31afee36b8d954c85be9ff0ff&o=ff41f174-3932-4490-86d5-1d2e1753fe7a
Micropole,IT / Digital,1200 collaborateurs,Nantes,Data Analyst confirmé - (F/H),il y a 25 jours,CDI,Télétravail non autorisé,N/A,Expérience : > 2 ans,Non spécifié,https://www.welcometothejungle.com/fr/companies/groupe-micropole/jobs/consultant-cognos-analytics-f-h_nantes?q=32a4d0b31afee36b8d954c85be9ff0ff&o=feb71094-82b1-49bb-9f66-1b1335f1de0a
CGI,"IT / Digital, Transformation, Big Data",14500 collaborateurs,Montpellier, Scrum Master Data F/H ,le mois dernier,CDI,Télétravail fréquent,N/A,Expérience : > 3 ans,Non spécifié,https://www.welcometothejungle.com/fr/companies/cgi/jobs/scrum-master-data-f-h_montpellier?q=32a4d0b31afee36b8d954c85be9ff0ff&o=fe845151-ae71-4134-9e3c-40422cc80a23
AXA,"Banque, Assurance, FinTech / InsurTech",34244 collaborateurs,Paris,Data Privacy Analyst F/H,il y a 13 heures,CDI,Télétravail fréquent,N/A,Expérience : > 2 ans,Non spécifié,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-privacy-analyst-f-h_paris?q=32a4d0b31afee36b8d954c85be9ff0ff&o=fe4f163b-370b-4b19-b825-0c9ff6786ad3
